feature,votes,mi_score,f_score,p_value,rf_importance,correlation,variance_selected,mi_selected,f_selected,rf_selected,corr_selected,final_selected
da0d00044_3,4,0.0037302769235271205,1411.590484273036,1.1405357084332014e-304,0.0016428582625673093,0.16570373164322214,True,True,True,False,True,True
fn1_22,4,0.0012502342909486153,61.36310825976209,4.8392871673895925e-15,0.010528611390059887,0.03501152397635189,True,False,True,True,True,True
da0d00034_1,4,0.0073710508361838345,2284.749242530771,0.0,0.0050156266094493,0.20904513397205293,True,True,True,False,True,True
r022,3,0.0002576466849659731,43.72765250963056,3.8118989625073555e-11,0.007332722917819603,0.02956051078510958,True,False,False,True,True,True
d2b000012_1,3,0.002876599853939843,873.2332010725513,2.826946147468388e-190,0.005660243704106599,0.1310174030704538,True,False,True,False,True,True
fn3_6,3,0.002309338887322654,31.202630043432514,2.33656789853386e-08,0.010321956133779031,0.024973752903292356,True,False,False,True,True,True
fn3_1,3,0.005305235491057103,5.937198350912435,0.014828030232402577,0.0025150566552640465,0.010896541533182218,True,True,False,False,True,True
d2b000012,3,0.0033070887267711013,843.1410665016863,7.637365829397826e-184,0.00271224846447933,0.12877823747116057,True,False,True,False,True,True
n012,3,0.0014305791331439277,21.69778747066354,3.1997941319786867e-06,0.008744316629438557,0.020827502427674664,True,False,False,True,True,True
fn3_11,3,2.788359898775461e-05,20.20165150841642,6.984892310521261e-06,0.007140730608725038,0.02009691524396997,True,False,False,True,True,True
n009,3,3.25026767340475e-05,11.734997276220424,0.0006138494112158607,0.006980506533570212,0.015318428716841389,True,False,False,True,True,True
fn3_7,3,0.0008979884888342671,39.35898807125078,3.555049304279543e-10,0.007093915888502009,0.028046248158629696,True,False,False,True,True,True
r016,3,0.005376167083464334,18.50980554338502,1.6935293745323702e-05,0.0019075707315201163,0.019237305266059098,True,True,False,False,True,True
fn2_3_4,3,0.006163161464940781,29.061156412826055,7.044592588344385e-08,0.0031699305985127967,0.024102048191328617,True,True,False,False,True,True
r019,3,0.0007327389804356876,33.70680563890849,6.446246740084043e-09,0.006994569551164311,0.025955902789962397,True,False,False,True,True,True
fn1_24,3,0.0015959203589883675,24.288225221268846,8.320938933681173e-07,0.007127759361543583,0.02203515519195263,True,False,False,True,True,True
fn1_23,3,0.0012097727518030066,44.97772768704321,2.014028206857583e-11,0.008031645258133985,0.029979693153502195,True,False,False,True,True,True
db0d00006,3,0.0041571706652151486,1975.9545167471856,0.0,0.0009553520097337917,0.19498248039129348,False,True,True,False,True,True
fn3_11_1,3,0.000896756496129969,34.3850023385695,4.5502892458746664e-09,0.008812002459169042,0.026215547137773677,True,False,False,True,True,True
fn3_2_2,3,0.004863174564613271,9.247955769957949,0.002358804876309453,0.0023012624041885165,0.01359898186539872,True,True,False,False,True,True
db0d00010,3,0.004530575020203931,2058.326927445801,0.0,0.00026020820021831903,0.1988476291106732,False,True,True,False,True,True
ascd10101,3,0.0027961360751308506,154.2899588255025,2.2574466788774613e-35,0.0031592241312068292,0.05546556581899026,True,False,True,False,True,True
n010,3,0.008230673651136278,12.236780992371902,0.0004689728607887805,0.0019667552733084585,0.01564242704965712,True,True,False,False,True,True
r012,3,0.001532230918325883,37.127384917218066,1.1146456751071389e-09,0.011716880227405491,0.027240161332346063,True,False,False,True,True,True
r015,3,0.0011735588839003608,24.031819393891883,9.505317180292786e-07,0.007082060140151232,0.02191859245652627,True,False,False,True,True,True
fn2_2_1,3,0.0,7.254526356952449,0.007074610859010645,0.007128062861344642,0.012044720050766247,True,False,False,True,True,True
fn3_3,3,0.0006015163017012437,15.20114894512157,9.677070360841408e-05,0.0067431668710974235,0.01743395339666592,True,False,False,True,True,True
fn1_20,3,2.4636794764276715e-06,7.695180413152116,0.005538900394506667,0.007301016917987117,0.012405082832602023,True,False,False,True,True,True
n011,3,0.000362826556288498,44.245439507066486,2.9265443890481584e-11,0.009159479935088817,0.029734857559830668,True,False,False,True,True,True
n008,3,0.0033943714059286867,18.252154167238775,1.9386422128099183e-05,0.0048821444029887575,0.019102996287797176,True,True,False,False,True,True
n003,3,0.0006478456141298938,48.61202837579167,3.158076122556466e-12,0.007259469411063994,0.03116624856440237,True,False,False,True,True,True
da0d00030,3,0.0020229081335265686,737.4550447695699,3.1902835223315526e-161,1.7153755328065865e-18,0.12056243073809995,True,False,True,False,True,True
ascd10103,3,0.0017191442354171915,154.2899588255025,2.2574466788774613e-35,0.002052719229999199,0.05546556581899026,True,False,True,False,True,True
fn2_10,3,0.0013409446176924078,42.2098060518279,8.275569536132972e-11,0.0070934193088845136,0.029043377340108312,True,False,False,True,True,True
fn3_2,3,0.004288073558224581,22.565233651189104,2.0369028139692525e-06,0.0029526355782869187,0.021239565099586695,True,True,False,False,True,True
fn3_8,2,0.0006559003207029512,37.15190838010311,1.100725826928156e-09,0.005632520627968203,0.027249149535495672,True,False,False,False,True,False
r023,2,0.0,22.603936284523932,1.996297891686189e-06,0.003050038219739248,0.021257763532428288,True,False,False,False,True,False
fn2_8,2,0.0,0.025885918113146236,0.8721798905977656,0.006460223509213744,0.0007195406892466744,True,False,False,True,False,False
fn1_16,2,0.0003146257761348359,3.8695695009454645,0.0491746523634368,0.006413135165346933,0.008797073169835554,True,False,False,True,False,False
fn2_4,2,0.0,7.086308726324797,0.00776999125931268,0.00523491926792276,0.011904274809123596,True,False,False,False,True,False
fn1_22_1,2,0.008930478762004701,0.36734803442282454,0.5444561286381073,0.0017432659877634612,0.0027105720057462868,True,True,False,False,False,False
